MOSKVA (Moscow),Russia
LONDON,UK
St Petersburg, Russia
BERLIN,Germany
MADRID,Spain
ROMA,Italy
KIEV,Ukraine
PARIS,France
BUCURESTI (Bucharest),Romania
BUDAPEST,Hungary
Hamburg,Germany
MINSK,Belarus
WARSZAWA (Warsaw),Poland
BEOGRAD (Belgrade),Serbia
WIEN (Vienna),Austria
Kharkov,Ukraine
Barcelona,Spain
Novosibirsk,Russia
Nizhny Novgorod,Russia
Milano (Milan),Italy
Ekaterinoburg,Russia
München (Munich),Germany
PRAHA (Prague),Czech Republic
Samara,Russia
Omsk,Russia
SOFIA,Bulgaria
Dnepropetrovsk,Ukraine
Kazan,Russia
Ufa,Russia
Chelyabinsk,Russia
Donetsk,Ukraine
Napoli (Naples),Italy
Birmingham,UK
Perm,Russia
Rostov-na-Donu,Russia
Odessa,Ukraine
Volgograd,Russia
Köln (Cologne),Germany
Torino (Turin),Italy
Voronezh,Russia
Krasnoyarsk,Russia
Saratov,Russia
